sku;назва;тип;одиниця;ррц;уктзед;штрихкод;вага_г;стаття_витрат
00-00000451;Шоубокс цукерок COLLAGEN - мигдаль-марципан;finished;pcs;895;;;;
00-00000461;Шоубокс цукерок COLLAGEN - Мікс;finished;pcs;895;1806;;;
00-00000452;Шоубокс цукерок COLLAGEN - фундук-марципан;finished;pcs;895;;;;
00-00000453;Шоубокс цукерок COLLAGEN - шоко-мигдаль;finished;pcs;895;1806;;;
00-00000178;Аудіо листівка;raw;pcs;;;;;
00-00000177;Аудіо листівка (Оборонці);raw;pcs;;;;;
00-00000169;Аудіо листівка (Редіс);raw;pcs;;;;;
00-00000143;Дріп-кава;finished;pcs;21;;;;
00-00000442;Книга “СТРЕС КРІЗЬ – ЖИТТЯ МІЙ MOOD”;finished;pcs;510;;;;
00-00000443;Книга “ТВІЙ ХРАМ - ЗДОРОВ’Я”;finished;pcs;510;;;;
00-00000144;Листівка А7;raw;pcs;;;;;
00-00000215;Осушувай повітря Cooper Hunter;raw;pcs;;;;;
00-00000403;Сети;raw;pcs;;;;;
00-00000559;Блендер Philips;raw;pcs;;;;;
00-00000560;Ваги ВТД 30 ФД;raw;pcs;;;;;
00-00000561;Ваги Електронні Центровес 30 кг;raw;pcs;;;;;
00-00000562;Ваги Електронні Центровес 6 кг ТЗДВ;raw;pcs;;;;;
00-00000563;Каструля 16*16;raw;pcs;;;;;
00-00000564;Каструля 20*14;raw;pcs;;;;;
00-00000565;Каструля 28*18 11л;raw;pcs;;;;;
00-00000214;Кондиціонер Мідеа;raw;pcs;;;;;
00-00000133;Листівка;raw;pcs;;;;;
00-00000202;Мікрохвильова піч;raw;pcs;;;;;
00-00000269;Обігрівач металевий Optilux 700HB, біл;raw;pcs;;;;;
00-00000246;Промо-стіл МІДІ з друком;raw;pcs;;;;;
00-00000689;Рукомийник;raw;pcs;;;;;
00-00000601;Фаршезмішувач-тістоміс FLN-25А;raw;pcs;;;;;
00-00000383;Ароматизатор Кокос;raw;kg;;;;;
00-00000384;Ароматизатор Лісові ягоди;raw;kg;;;;;
00-00000554;вітамін D3;raw;kg;;;;;
00-00000556;вітамін В12;raw;kg;;;;;
00-00000406;Гофролист 800*1200 Т22С;packaging;pcs;;;;;
00-00000409;Гофроящик 205*125*130 Т22С бурий (на 2 шб);packaging;pcs;;;;;
00-00000495;Гофроящик 210*130*140 Т22С бурий;packaging;pcs;;;;;
00-00000538;Гофроящик 230*190*285 Т22С бурий;packaging;pcs;;;;;
00-00000408;Гофроящик 270*200*160 Т22С бурий;packaging;pcs;;;;;
00-00000673;Гофроящик 280*105*290 бурий;packaging;pcs;;;;;
00-00000675;Гофроящик 296*267*270;packaging;pcs;;;;;
00-00000644;Гофроящик 390*260*330;packaging;pcs;;;;;
00-00000626;Гофроящик 400х350х285;packaging;pcs;;;;;
00-00000418;Гофроящик 400х400х400 на 36шб;packaging;pcs;;;;;
00-00000340;гофроящики 360*360*260;packaging;pcs;;;;;
00-00000568;Емульгатор Dimodan;raw;pcs;;;;;
00-00000674;Емульгатор Myvatex;raw;kg;;;;;
00-00000410;Емульгатор Муверол;raw;pcs;;;;;
00-00000278;Кольоропроба;service;pcs;;;;;services
00-00000539;Кондиціонер Olmo 24ка;raw;pcs;;;;;
00-00000417;Коробка самозбірна 236х117х71;packaging;pcs;;;;;
00-00000655;Мальтитол;raw;kg;;;;;
00-00000365;Мармелад медовий Ананас;raw;pcs;;;;;
00-00000146;Миша комп.;raw;pcs;;;;;
00-00000621;Набір скріпок Buromax 25мм 10уп по 100 шт;finished;pcs;34;;;;
00-00000551;омега 3;raw;kg;;;;;
00-00000624;Паперовий наповнювач;raw;pcs;;;;;
00-00000636;Папір офісний;raw;pack;;;;;
00-00000619;Папір офісний Maestro Standard ящик 5шт;raw;pcs;;;;;
00-00000068;Пере;raw;pcs;;;;;
00-00000407;Піддон Євро;packaging;pcs;;;;;
00-00000085;Пляшка пет 500мл;raw;pcs;;;;;
00-00000101;Рукавчики Нітрилові;raw;pcs;;;;;
00-00000100;Серветка вкладиш;raw;pcs;;;;;
00-00000667;Символ до термодатера;raw;pcs;;;;;
00-00000656;Сорбітол;raw;kg;;;;;
00-00000208;Стіл виробничий з двома полицями пристінний (+ борт правий) Д=1860мм, Ш=800мм;raw;pcs;;;;;
00-00000209;Стіл виробничий з двома полицями пристінний Д=1745мм, Ш= 800мм;raw;pcs;;;;;
00-00000210;Стіл виробничий з двома полицями пристінний Д=930мм, Ш= 800мм;raw;pcs;;;;;
00-00000228;Стіл офісний;raw;pcs;;;;;
00-00000625;Стретч-плівка;packaging;pcs;;;;;
00-00000500;Стрічка поліпропіленова з липким шаром;packaging;pcs;;;;;
00-00000007;Тестова;raw;pcs;;;;;
00-00000462;Топильна Машина;raw;pcs;;;;;
00-00000343;файл;raw;pcs;;;;;
00-00000620;Файл-кишеня Economix А4 100шт;raw;pcs;;;;;
00-00000213;Фен будівельний;raw;pcs;;;;;
00-00000550;фісташкове борошно;raw;kg;;;;;
00-00000137;Хладоген;raw;pcs;;;;;
00-00000212;Цифри для датера;packaging;pcs;;;;;
00-00000513;Цифри до NY-805;packaging;pcs;;;;;
00-00000134;Чай чорний гладоген;raw;pcs;;;;;
00-00000168;Шоубокс - Горіховий_ НЕ ВИБИРАТИ;raw;pcs;;;;;
00-00000524;Шоубокс батончиків Focus bar Marsea (НЕ ПРОБИВАТИ);raw;pcs;;;;;
00-00000599;Штемпельний ролик фарбуючий білий;raw;pcs;;;;;
00-00000600;Штемпельний ролик фарбуючий чорний;raw;pcs;;;;;
00-00000641;Юридичні послуги;service;pcs;;;;;services
